Categoría,Sección,Regla_Negocio
Recursos Humanos,Retiro de personal,"El protocolo de retiro voluntario o desvinculación pactada de personal en Lignum Atelier busca asegurar que el término de la relación laboral se desarrolle bajo condiciones de absoluto respeto, transparencia y estricta legalidad institucional. El proceso se inicia formalmente con la radicación de la carta de renuncia o la notificación oficial de terminación contractual emitida por la empresa. El colaborador retirado deberá realizar la entrega formal de su puesto de trabajo de manera ordenada a través del formato oficial de entrega, detallando el estado de sus pendientes operativos y procediendo a la devolución física de la totalidad de las herramientas de ebanistería, equipos de cómputo y credenciales institucionales ante el área de inventarios corporativos."
Recursos Humanos,Desvinculación,"La desvinculación unilateral por justa causa de un colaborador en Lignum Atelier se considera una medida de carácter excepcional y de última instancia operativa, aplicable únicamente cuando el empleado ha incurrido de manera flagrante en alguna de las faltas gravísimas tipificadas de forma clara en el reglamento interno de trabajo o en los códigos de ética y conducta de la organización. Para proceder a la desvinculación formal, la Dirección de Gestión Humana debió liderar y documentar minuciosamente un proceso disciplinario previo, garantizando de forma irrestricta la comparecencia del trabajador a una audiencia de descargos. Si las justificaciones presentadas por el colaborador no desvirtúan la falta probada, se emitirá la carta de despido justificado sin derecho a indemnizaciones."
Recursos Humanos,Jubilación,"Lignum Atelier acompaña de manera activa y con profundo agradecimiento institucional a aquellos colaboradores que se aproximan al cumplimiento de los requisitos legales de edad y semanas de cotización exigidos para acceder a su pensión de vejez o jubilación reglamentaria. A través del programa 'Legado de Excelencia', el departamento de Gestión Humana brinda asesoría técnica y administrativa personalizada para agilizar los trámites documentales ante los fondos pensionales oficiales correspondientes. Asimismo, durante los últimos seis meses previos a la desvinculación formal por jubilación, la empresa implementa planes de transición laboral flexible que permiten al colaborador capacitar a su sucesor operativo, celebrándose un evento institucional de reconocimiento a sus años de servicio."
Recursos Humanos,Reconocimientos,"La política de incentivos y reconocimientos de Lignum Atelier tiene como finalidad exaltar el desempeño excepcional, el compromiso ético, la innovación en procesos y la antigüedad laboral de sus colaboradores habituales. El programa insignia de la organización premia de forma trimestral y anual al 'Colaborador Lignum' en tres categorías diferenciadas: Excelencia en Planta de Producción, Innovación en Diseño y Soporte Administrativo Excepcional. Los ganadores, seleccionados bajo criterios medibles de productividad y votación cruzada de compañeros, reciben incentivos económicos extralegales, días de descanso remunerados adicionales y una mención honorífica en la galería de honor institucional, fomentando una cultura de alto rendimiento."
Recursos Humanos,Planes de carrera,"Los Planes de Carrera en Lignum Atelier representan rutas de desarrollo profesional estructuradas a largo plazo que la empresa traza en conjunto con aquellos colaboradores de alto potencial operativo y administrativo que demuestran un compromiso sostenido con la visión institucional. Gestión Humana define de manera clara los mapas de competencias técnicas, los requisitos académicos mínimos y las certificaciones requeridas para avanzar secuencialmente a través de las diferentes líneas de jerarquía dentro de los talleres de fabricación, la cadena logística o la estructura administrativa corporativa, garantizando que el crecimiento del negocio esté respaldado por la promoción ordenada de su talento interno calificado."
Recursos Humanos,Comunicación interna,"La Dirección de Gestión Humana de Lignum Atelier gestiona la estrategia de Comunicación Interna como una herramienta indispensable para garantizar la alineación estratégica, la transparencia informativa y el fortalecimiento de la cultura familiar de la organización. Los canales oficiales institucionales autorizados para la difusión de noticias corporativas, cambios organizacionales, convocatorias de empleo internas, actualizaciones de políticas y alertas de seguridad comprenden de forma única: el boletín electrónico semanal 'Eco de Lignum' remitido a las cuentas de correo corporativo, los tableros informativos físicos instalados en los comedores de las plantas de producción, y la plataforma intranet corporativa accesible por los empleados."
Preguntas Frecuentes (FAQ),¿Qué hago si pierdo una herramienta de la planta?,"En caso de pérdida, extravío o daño irreparable por negligencia de alguna herramienta manual o eléctrica asignada de forma individual para las labores en el taller de ebanistería de Lignum Atelier, el operario debe reportar de manera inmediata la novedad al Supervisor de Planta. Se realizará un análisis del desgaste natural de la herramienta; si se demuestra que la pérdida ocurrió por descuido o abandono del colaborador, el costo de reposición del activo será cargado al empleado de acuerdo con los valores del inventario oficial de herramientas."
Preguntas Frecuentes (FAQ),¿Cómo solicito el auxilio para lentes de descanso?,"Lignum Atelier otorga un auxilio económico parcial anual no constitutivo de salario para la adquisición de lentes de descanso o monturas correctoras destinado al personal administrativo y de diseño que labora frente a pantallas informáticas. El interesado debe tramitar la solicitud ante el área de Bienestar Laboral, adjuntando la orden médica original expedida por un optómetra calificado del sistema de salud oficial y la correspondiente factura electrónica legal del establecimiento óptico donde realizó la compra."
Preguntas Frecuentes (FAQ),¿Se permiten visitas personales en el horario de trabajo?,"Con el propósito de mantener la concentración operativa, la productividad y evitar riesgos de seguridad industrial en los talleres de ebanistería y oficinas de Lignum Atelier, quedan terminantemente prohibidas las visitas de carácter personal a los colaboradores durante el transcurso de sus jornadas laborales ordinarias o extraordinarias. En situaciones de emergencia familiar comprobable, el visitante deberá anunciarse formalmente en la recepción principal, y el jefe inmediato autorizará un espacio breve fuera del área operativa."
Preguntas Frecuentes (FAQ),¿Qué hago si el sistema biométrico de ingreso no reconoce mi huella?,"Si al momento de registrar el ingreso o la salida en las instalaciones de Lignum Atelier el dispositivo biométrico de lectura dactilar presenta fallas técnicas reiteradas o no reconoce la huella del colaborador, este debe presentarse inmediatamente ante el guardia de seguridad de turno para realizar el registro manual en la bitácora física de control. De manera simultánea, el empleado enviará un correo a soporte técnico y Recursos Humanos informando de la situación para la reconfiguración de sus datos biométricos."
Preguntas Frecuentes (FAQ),¿Cuándo se entregan los certificados de retención fiscal?,"Lignum Atelier realiza la expedición y entrega anual de los certificados de retenciones fiscales y salarios percibidos a la totalidad de su personal activo e inactivo dentro de los plazos establecidos por el calendario de la autoridad fiscal nacional, habitualmente durante el mes de marzo de cada año. Los colaboradores podrán descargar de forma directa este documento tributario a través de la plataforma digital de autogestión de personal, estando habilitada la atención presencial para aclarar dudas operativas."
Preguntas Frecuentes (FAQ),¿Cómo se calculan los días de licencia por matrimonio?,"Lignum Atelier concede un beneficio extralegal de cinco días hábiles de licencia remunerada continuos por concepto de matrimonio a aquellos colaboradores vinculados mediante contrato a término indefinido. Para hacer efectivo este derecho, el empleado debe radicar la solicitud formal ante Gestión Humana con una antelación mínima de treinta días calendario a la fecha del enlace nupcial, adquiriendo la obligación ineludible de presentar el acta o registro civil de matrimonio original dentro de los diez días hábiles posteriores a su reintegro."
Preguntas Frecuentes (FAQ),¿Cómo reportar una falla en los equipos de extracción de polvo?,"La seguridad en los talleres de ebanistería de Lignum Atelier depende del correcto funcionamiento de los sistemas colectores de aserrín y extracción de polvo de madera. Si un operario detecta una disminución en la potencia de succión o un ruido inusual en la maquinaria de extracción, debe suspender inmediatamente las actividades de corte asociadas, apagar el equipo y notificar de manera verbal y escrita al Coordinador de Mantenimiento Industrial y al área de Seguridad Ocupacional para la reparación técnica."
Preguntas Frecuentes (FAQ),¿Cuál es el canal para proponer mejoras en los diseños de muebles?,"Lignum Atelier incentiva el espíritu de innovación de su personal a través del programa 'Ideas de Madera'. Todo colaborador de planta, ebanista o diseñador que identifique una oportunidad de mejora en los planos de construcción, optimización de ensamble o ahorro de materia prima en la fabricación de mobiliario, puede diligenciar el formulario digital de propuestas en la intranet, enviándolo al Comité de Diseño y Calidad, el cual evalúa y premia semestralmente las iniciativas viables de implementación."
Preguntas Frecuentes (FAQ),¿Cómo solicito el cambio de turno de producción?,"Los colaboradores de la planta industrial de Lignum Atelier que por motivos de fuerza mayor, estudios nocturnos autorizados o citas médicas programadas requieran efectuar un cambio temporal o permanente en sus turnos de trabajo asignados, deberán presentar una solicitud escrita firmada en conjunto con el compañero con quien realizarán el intercambio. Esta petición cruzada debe entregarse al Supervisor de Producción con un mínimo de cinco días hábiles de anticipación, quedando supeditada a la validación de competencias técnicas equivalentes."
Preguntas Frecuentes (FAQ),¿Qué hago si cambio mi número de cuenta bancaria?,"Para solicitar la modificación de la cuenta bancaria destinada a la dispersión de la nómina mensual en Lignum Atelier, el colaborador debe radicar ante el área de Tesorería y Gestión Humana una certificación oficial original expedida por la nueva entidad bancaria, la cual debe tener una vigencia de expedición inferior a treinta días calendario y certificar la titularidad del empleado. El cambio debe tramitarse antes del día diez de cada mes para que pueda verse reflejado de manera oportuna en el ciclo de pago actual."
Preguntas Frecuentes (FAQ),¿Cómo se maneja la licencia por luto en la empresa?,"Ante el fallecimiento de familiares directos, que abarca al cónyuge o compañero permanente, padres, hijos, hermanos, abuelos y nietos del colaborador, Lignum Atelier otorga una licencia por luto remunerada de cinco días hábiles consecutivos, de conformidad con las directrices institucionales de bienestar humano. El colaborador debe informar inmediatamente a su jefatura directa sobre el acontecimiento fortuito y presentar una copia digital del certificado de defunción y soportes de parentesco ante Recursos Humanos al reincorporarse."
Preguntas Frecuentes (FAQ),¿Cómo solicito una auditoría de mis días de vacaciones acumulados?,"Si un colaborador presenta discrepancias entre el saldo de días de vacaciones que muestra el portal digital de autogestión y sus registros personales de descanso disfrutados en Lignum Atelier, puede interponer una solicitud de revisión formal ante la Coordinación de Personal de Recursos Humanos. Un analista procederá a realizar una auditoría histórica detallada cruzando las solicitudes aprobadas en sistema, planillas horarias de ingreso y novedades de nómina pasadas, emitiendo un informe definitivo en cinco días hábiles."
Preguntas Frecuentes (FAQ),¿Qué lineamientos aplican para el uso de la sala de lactancia?,"Lignum Atelier dispone de una sala de lactancia materna dotada con las condiciones óptimas de higiene, privacidad y refrigeración dentro de sus instalaciones administrativas para el uso de las colaboradoras en período de lactancia. Las madres colaboradoras cuentan con descansos programados remunerados de treinta minutos dos veces al día durante su jornada ordinaria para la extracción y conservación de la leche materna, debiendo coordinar previamente los horarios específicos de uso con su superior inmediato para evitar vacíos operativos."
Preguntas Frecuentes (FAQ),¿Cómo solicito apoyo económico para estudios universitarios?,"Los colaboradores de Lignum Atelier con contrato indefinido vigente y una antigüedad ininterrumpida de dos años en la compañía pueden postular al programa de auxilios para la educación superior. El interesado debe presentar el plan de estudios del programa universitario o técnico a cursar, justificando formalmente su alineación directa con las áreas de crecimiento de la empresa (como diseño industrial o finanzas); el Comité de Becas evaluará el expediente asignando subsidios parciales según el rendimiento académico."
Preguntas Frecuentes (FAQ),¿Qué hacer en caso de sismo dentro de las instalaciones?,"Ante la ocurrencia de un evento sísmico o temblor de tierra en cualquiera de las dependencias, plantas de fabricación o salas de exhibición de Lignum Atelier, todos los colaboradores deben suspender de inmediato el uso de herramientas de ebanistería y maquinaria industrial, mantener la calma y seguir de forma estricta las rutas de evacuación señalizadas por las flechas de emergencia, dirigiéndose de manera ordenada hacia los Puntos de Encuentro seguros preestablecidos bajo la guía de los brigadistas."
Preguntas Frecuentes (FAQ),¿Cómo se gestiona el permiso por el nacimiento de un hijo?,"En Lignum Atelier, los colaboradores que se conviertan en padres disfrutan de la correspondiente licencia de paternidad remunerada fijada por las directrices de personal de la compañía. El empleado debe notificar la novedad del nacimiento a su supervisor directo de manera inmediata y remitir al departamento de Gestión Humana una copia legible del registro civil de nacimiento oficial del infante dentro de los primeros quince días calendario posteriores al parto para formalizar la justificación legal de las ausencias."
Preguntas Frecuentes (FAQ),¿Qué es el Comité de Convivencia Laboral y quiénes lo integran?,"El Comité de Convivencia Laboral de Lignum Atelier es un organismo paritario interno conformado por representantes elegidos democráticamente por los colaboradores y representantes designados directamente por la Dirección General de la empresa. Este comité tiene como función primordial la promoción de un clima laboral saludable, la prevención de conductas de acoso y la mediación confidencial ante conflictos interpersonales surgidos entre los trabajadores, sesionando de forma ordinaria cada tres meses o de forma extraordinaria ante emergencias."
Preguntas Frecuentes (FAQ),¿Cómo reporto el desgaste de mi calzado de seguridad?,"Si el calzado con puntera de acero entregado como dotación de seguridad industrial para las labores operativas de ebanistería en Lignum Atelier sufre un desgaste prematuro, rotura o pérdida de sus propiedades antideslizantes antes del ciclo de entrega regular, el colaborador debe acudir inmediatamente a la oficina de Seguridad y Salud en el Trabajo mostrando el calzado dañado. Si se determina que el daño se debió al uso diario operativo legítimo, se gestionará una reposición extraordinaria de emergencia."
Preguntas Frecuentes (FAQ),¿Cuál es la política para el uso del estacionamiento corporativo?,"Lignum Atelier dispone de zonas de estacionamiento reguladas destinadas exclusivamente al uso gratuito de sus colaboradores activos durante el transcurso de sus turnos laborales. Los espacios se asignan mediante la entrega de un tarjetón de parqueadero institucional expedido por el área de Seguridad Corporativa, debiendo los conductores transitar a una velocidad máxima de diez kilómetros por hora dentro de las instalaciones, estacionarse en reversa obligatoriamente y respetar de forma estricta los lugares señalizados para uso exclusivo de personas con discapacidad."
Preguntas Frecuentes (FAQ),¿Cómo puedo proponer un nuevo proveedor de maderas sustentables?,"En concordancia con los valores de sostenibilidad de Lignum Atelier, cualquier colaborador que identifique o posea información comercial verificable sobre un proveedor de madera fina proveniente de bosques con certificación forestal de manejo sustentable, puede remitir un informe técnico detallado al área de Compras y Suministros. El departamento de compras someterá al proveedor propuesto a un riguroso proceso de auditoría y homologación de materias primas para verificar el cumplimiento ético exigido."
Preguntas Frecuentes (FAQ),¿Cómo solicito un duplicado de la llave de mi casillero?,"Los casilleros o lockers individuales asignados en los vestidores de la planta de producción de Lignum Atelier para el resguardo de pertenencias personales son responsabilidad del colaborador. En caso de pérdida de la llave asignada, el empleado debe abstenerse de forzar el candado o cerradura por cuenta propia, debiendo solicitar un duplicado formal ante la Coordinación de Servicios Generales de la empresa, asumiendo el costo económico derivado del duplicado o del cambio total de la cerradura dañada por descuido."
Preguntas Frecuentes (FAQ),¿Qué lineamientos rigen el uso del comedor de la empresa?,"El comedor institucional de Lignum Atelier es un espacio comunitario diseñado para el consumo de alimentos e hidratación de los colaboradores durante sus períodos oficiales de descanso y almuerzo. Es una norma estricta de convivencia mantener el orden y la higiene del lugar, limpiar la mesa utilizada, depositar los residuos sólidos de comida de forma clasificada en los contenedores de reciclaje correspondientes, y abstenerse de ingresar al comedor utilizando ropa de labor excesivamente impregnada de aserrín, solventes o lacas de madera."
Política de Privacidad,Uso de cookies y datos de navegación interna,"Lignum Atelier informa que las plataformas digitales de la intranet corporativa y el portal del empleado emplean tecnologías de almacenamiento local y cookies técnicas estrictamente necesarias para autenticar la identidad del usuario, personalizar las interfaces de autogestión de nómina y mantener la estabilidad de las sesiones informáticas. No se recopilan datos de navegación del colaborador para fines externos de rastreo comercial. El uso continuo de estas plataformas internas implica la aceptación institucional de dichos términos de seguridad digital por parte de la plantilla laboral."
Política de Privacidad,Consentimiento para verificación de historial académico,"En el marco de sus políticas de transparencia y contratación ética, Lignum Atelier requiere de forma obligatoria el consentimiento explícito y por escrito de todo candidato preseleccionado para llevar a cabo la verificación directa de sus títulos académicos, certificaciones técnicas de ebanistería e historiales de desempeño laboral con las instituciones educativas y empleadores del pasado. El tratamiento de este historial documental se manejará con total confidencialidad por el área de selección y será destruido si el postulante no resulta seleccionado."
Política de Privacidad,Monitoreo de redes de datos corporativas,"Lignum Atelier realiza actividades de supervisión y monitoreo técnico de los flujos de tráfico de datos transmitidos a través de los servidores informáticos y redes inalámbricas propiedad de la compañía. Este monitoreo tiene la finalidad exclusiva de garantizar la seguridad de los activos de la empresa frente a fugas de información confidencial, intrusión de virus informáticos y descargas de material malicioso. Los registros de conexión obtenidos mediante auditorías automáticas se consideran información confidencial protegida y solo se revelarán en procesos disciplinarios."
Política de Privacidad,Custodia de registros biométricos de acceso,"Los datos e impresiones dactilares y perfiles faciales recolectados por Lignum Atelier mediante los relojes biométricos de control de acceso a las plantas de ebanistería y oficinas corporativas son sometidos a un tratamiento de encriptación matemática avanzada y aislamiento lógico. Dichos registros biométricos no constituyen imágenes completas de las huellas dactilares del personal, sino plantillas binarias que imposibilitan su suplantación de identidad en sistemas externos, asegurando la custodia absoluta de los datos de control horario frente a accesos cibernéticos no autorizados."
Política de Privacidad,Manejo corporativo de información médica ocupacional,"Las historias clínicas ocupacionales, registros de exámenes de ingreso, periódicos o de egreso, así como los dictámenes de aptitud física de los colaboradores de Lignum Atelier, permanecen bajo la estricta custodia médica del profesional de la salud contratado por la empresa dentro del área de Seguridad y Salud en el Trabajo. Recursos Humanos únicamente tendrá acceso a las recomendaciones y restricciones laborales emitidas por el médico para la adecuación de puestos de ebanistería o reubicación de personal, salvaguardando el derecho a la intimidad médica del trabajador."
Política de Reembolso,Legalización de gastos con tarjeta de crédito corporativa,"Los colaboradores de nivel gerencial o directivo en Lignum Atelier a quienes se les haya asignado una tarjeta de crédito corporativa para la ejecución de representaciones comerciales o gastos operativos, están obligados a realizar la legalización de los estados de cuenta mensuales adjuntando el total de facturas electrónicas válidas en un plazo máximo de cinco días tras el corte del plástico. El uso de la tarjeta de crédito corporativa para sufragar gastos de naturaleza estrictamente personal será catalogado como una falta gravísima que acarreará el descuento directo del salario y sanciones penales."
Política de Reembolso,Políticas de reembolso para eventos de integración,"Los gastos económicos derivados de la organización de reuniones, almuerzos de integración interna de equipos o celebraciones de metas comerciales lideradas por jefes de área de Lignum Atelier serán elegibles para reembolso corporativo únicamente si contaron con la aprobación presupuestal previa de la Dirección de Gestión Humana y Finanzas. La rendición de cuentas del evento debe anexar de forma obligatoria el listado completo de los colaboradores asistentes, la agenda de la actividad ejecutada y la factura electrónica desglosada del proveedor de servicios de alimentos contratado."
Política de Reembolso,Gastos extraordinarios de estacionamiento y peajes en ruta,"Lignum Atelier reconocerá los gastos efectuados por concepto de peajes carreteros nacionales y tarifas de estacionamientos comerciales públicos incurridos por los colaboradores del área comercial o de distribución logística durante el cumplimiento de las rutas oficiales de entrega de muebles a clientes. La legalización de estos rubros requiere la presentación física de los tiquetes de peaje originales o el extracto digital del dispositivo de pago electrónico automatizado asignado al vehículo de la compañía, no admitiéndose estimaciones globales de gasto sin soporte."
Política de Reembolso,Reembolso por renovación de licencias de conducción comercial,"La empresa Lignum Atelier asumirá mediante la modalidad de reembolso directo el costo de los derechos de renovación de las licencias de conducción de categoría comercial e industrial de aquellos colaboradores contratados bajo el cargo de Conductores de Distribución Logística o Choferes de Maquinaria Pesada, siempre que dicha renovación sea indispensable para el ejercicio vigente de sus responsabilidades laborales. El trámite de reembolso exige la entrega del recibo oficial de pago estatal y la copia digital de la nueva licencia comercial vigente."
Política de Reembolso,Límites de gastos por propinas y atenciones comerciales,"En los casos debidamente justificados en que los representantes comerciales de Lignum Atelier deban realizar atenciones o cenas de negocios con clientes corporativos o distribuidores mayoristas, se autoriza la inclusión de propinas voluntarias dentro de las solicitudes de reembolso, fijándose un tope máximo estricto equivalente al diez por ciento del valor total del consumo antes de impuestos que figure en la factura electrónica legal presentada, rechazándose de plano cualquier excedente que vulnere la sobriedad del gasto corporativo."
Guía de Envíos y Entregas,Control de envíos de muestras de madera y acabados,"El despacho y transporte de muestras físicas de maderas selectas, catálogos de diseño o muestras de acabados de laca destinados a proyectos específicos con arquitectos o clientes corporativos de Lignum Atelier debe canalizarse exclusivamente a través de la Coordinación de Correspondencia Interna. Cada envío debe estar amparado por un formulario de salida de material donde se registre el nombre del asesor comercial remitente, el destinatario externo y el número de proyecto asociado, garantizando el control de inventarios de la sala de diseño de la organización."
Guía de Envíos y Entregas,Entrega formal del puesto de trabajo administrativo,"La entrega de puesto por parte de un colaborador administrativo en Lignum Atelier ante una situación de desvinculación o traslado exige el diligenciamiento pormenorizado del 'Manual de Entrega Operativa de Funciones'. En este documento se deben registrar las contraseñas de archivos locales compartidos, la ubicación física de expedientes de proveedores, la lista de tareas recurrentes con sus fechas límites próximas y el estado detallado de proyectos pendientes de resolución, requiriéndose la firma presencial de conformidad del jefe inmediato del área de trabajo."
Guía de Envíos y Entregas,Seguimiento y custodia de dotación devuelta por desvinculación,La vestimenta y el calzado de labor provistos como dotación industrial a los operarios de Lignum Atelier que sean devueltos al área de Almacén al término de los contratos de trabajo por razones de bioseguridad y control de marca serán sometidos a un proceso de inspección y registro. Los uniformes que cuenten con logotipos visibles de Lignum Atelier bordados que se encuentren desgastados serán destruidos de forma segura mediante trituración industrial para evitar el uso indebido de las insignias corporativas por personas externas ajenas al taller.
Guía de Envíos y Entregas,Protocolo para la recepción de correspondencia personal de empleados,"Lignum Atelier establece que las ventanillas de recepción y áreas de mensajería corporativa de la empresa están destinadas de forma exclusiva a la recepción de documentación comercial, facturas de proveedores y correspondencia institucional de la organización. Queda prohibido a los colaboradores direccionar paquetes de compras personales en línea, estados de cuenta bancarios privados o correspondencia familiar hacia las direcciones físicas de las oficinas de la empresa, eximiéndose la compañía de cualquier extravío de paquetes personales."
Guía de Envíos y Entregas,Asignación de equipos de telefonía y planes de datos corporativos,"La entrega de teléfonos inteligentes y la asignación de planes corporativos de voz y datos de alta velocidad en Lignum Atelier se otorga de manera exclusiva a cargos específicos que requieran movilidad y conectividad permanente por razones del servicio. El colaborador beneficiado firma un contrato de comodato donde acepta que el uso de la línea móvil está restringido a coordinaciones laborales del taller, comprometiéndose a costear de forma directa los consumos adicionales que excedan los límites de minutos o datos fijados en el plan contratado."
Términos y Condiciones,Política institucional contra el soborno y la corrupción,"Lignum Atelier ratifica su postura de total rechazo y combate frente a cualquier acto ilícito, cohecho, soborno o corrupción en la gestión comercial. Ningún colaborador está facultado para prometer, ofrecer, pagar o autorizar beneficios económicos ilegítimos o favores materiales a funcionarios públicos, inspectores laborales o representantes de clientes corporativos con el fin de agilizar trámites, obtener permisos ambientales de carpintería o asegurar contratos comerciales, constituyendo cualquier violación a esta regla una causa penal inmediata y despido justificado de la empresa."
Términos y Condiciones,Uso de software e instalación de licencias en computadores,"La totalidad del software instalado en las computadoras, laptops y servidores de Lignum Atelier debe contar con las licencias comerciales e institucionales de uso vigentes adquiridas formalmente por la empresa. Queda terminantemente prohibido a los diseñadores, administradores y colaboradores descargar o instalar de forma autónoma programas informáticos piratas, aplicaciones de descarga de archivos compartidos (P2P), juegos o software libre que no haya sido previamente analizado y aprobado por el área de ciberseguridad, previniendo riesgos legales de derechos de autor."
Términos y Condiciones,Manejo de conflictos e insubordinación laboral,"La insubordinación entendida como la negativa expresa, deliberada e injustificada de un colaborador a acatar las órdenes operativas, instrucciones directas o reglamentos dictados por su jefe inmediato o supervisores de planta en el marco de sus funciones se tipifica como una infracción gravísima al orden jerárquico de Lignum Atelier. Ante un acto manifiesto de insubordinación, el supervisor suspenderá las actividades del trabajador, levantará una minuta detallada con testigos del hecho y dará traslado inmediato al departamento de Gestión Humana para iniciar el proceso disciplinario formal."
Términos y Condiciones,Lineamientos para la participación en capacitaciones externas,"El colaborador de Lignum Atelier que haya sido seleccionado e inscrito por la compañía para asistir a seminarios, diplomados o ferias industriales de carpintería a nivel nacional financiadas por la organización, asume el compromiso ético de cumplir con el cien por ciento de las horas programadas de asistencia. Asimismo, adquiere la obligación de actuar como multiplicador del conocimiento dentro del taller, dictando sesiones réplica de capacitación a su equipo de trabajo en los quince días hábiles posteriores a la finalización del evento formativo."
Términos y Condiciones,Responsabilidad civil y material por daños en maquinaria CNC,"La maquinaria automatizada de control numérico computarizado (CNC) empleada para los cortes de alta precisión de madera en Lignum Atelier representa un activo de alto valor económico y estratégico. Los operarios certificados asignados a estas estaciones deben realizar los chequeos de calibración obligatorios antes de iniciar la producción. Si se comprueba mediante auditoría técnica que una avería o daño estructural severo en la maquinaria CNC fue causado por una omisión deliberada de los protocolos de seguridad o negligencia inexcusable del operario, este incurrirá en responsabilidad material civil."
Recursos Humanos,Programas preventivos de salud visual y ergonomía laboral,"El área de Seguridad y Salud en el Trabajo de Lignum Atelier lidera de forma permanente programas preventivos enfocados en mitigar la fatiga visual y los trastornos musculoesqueléticos del personal administrativo y de planta. Estos programas contemplan la dotación de sillas de oficina con diseños ergonómicos ajustables, el mantenimiento de los niveles de iluminación reglamentarios en las mesas de diseño y carpintería, y el entrenamiento obligatorio en técnicas de pausas activas físicas y ejercicios de relajación visual que los colaboradores deben realizar obligatoriamente dos veces al día."
Recursos Humanos,Gestión de convenios corporativos de educación continua,"Con el propósito firme de impulsar el crecimiento y desarrollo integral de su plantilla, la Dirección de Gestión Humana de Lignum Atelier suscribe periódicamente convenios de cooperación institucional y descuentos preferenciales con universidades, centros de formación técnica y escuelas de idiomas a nivel nacional. Los colaboradores activos y sus familiares directos hasta el primer grado de consanguinidad pueden acceder a reducciones en las tarifas de matrícula, debiendo mantener un promedio académico mínimo sobresaliente para conservar el beneficio del descuento corporativo otorgado."
Recursos Humanos,Protocolo de bienvenida y Onboarding para nuevos colaboradores,"El proceso de incorporación u Onboarding en Lignum Atelier busca asegurar que el primer día de trabajo de todo colaborador sea una experiencia altamente positiva, organizada y motivadora. Al ingresar, el empleado es recibido formalmente por un analista de Gestión Humana que hace entrega de su kit de bienvenida (que incluye manual de cultura, carné biométrico, libreta institucional y taza de la empresa) y lo acompaña a realizar un recorrido por las diferentes dependencias operativas y talleres de la planta, presentándolo formalmente ante los directivos de la organización."
Recursos Humanos,Evaluación y control del ausentismo laboral,"El departamento de Recursos Humanos de Lignum Atelier realiza un seguimiento estadístico mensual y riguroso de los índices de ausentismo laboral con el objetivo de identificar factores que puedan estar afectando el bienestar de la plantilla o la productividad de los talleres de carpintería. Se analizan de forma clasificada las ausencias justificadas por incapacidad médica, permisos otorgados y las ausencias injustificadas; cuando se detecten patrones de ausentismo reiterados en un colaborador, se citará a una entrevista con psicología laboral para evaluar la situación de fondo."
Recursos Humanos,Organización de las jornadas anuales de vacunación y prevención,"Lignum Atelier, en alianza estratégica con las entidades de salud del sector público y cajas de compensación familiar, organiza anualmente dentro de las instalaciones de la planta de producción jornadas masivas e integrales de vacunación preventiva, exámenes de control cardiovascular, despistaje de enfermedades crónicas y asesoría nutricional para la totalidad del personal. La participación en estas jornadas de salud se desarrolla durante el horario laboral ordinario sin que implique ningún descuento salarial para el trabajador, promoviendo el autocuidado de la plantilla."
Recursos Humanos,Manejo de ascensos temporales por reemplazo de jefaturas,"Cuando por razones de licencias de maternidad, incapacidades médicas prolongadas o comisiones de servicio al extranjero un puesto de supervisión o jefatura en Lignum Atelier quede vacante de forma temporal, la Dirección de Gestión Humana implementará un esquema de ascenso transitorio. Se designará al colaborador de la misma área que posea el mejor perfil técnico y desempeño, quien asumirá de forma temporal las funciones del cargo superior y percibirá un bono económico complementario transitorio por responsabilidad durante el lapso de duración del reemplazo oficial."
Recursos Humanos,Estructura de compensación y tabulador salarial,"La política de compensaciones de Lignum Atelier se cimenta sobre una estructura equitativa y transparente fundamentada en un Tabulador Salarial Corporativo rígido, el cual define bandas económicas mínimas y máximas para cada cargo en función de la complejidad de la tarea, la formación académica requerida y el nivel de responsabilidad asignado. Recursos Humanos revisa periódicamente estas bandas frente al mercado laboral para garantizar la competitividad externa de la empresa, prohibiendo cualquier alteración discrecional de los salarios que vulnere la equidad interna fijada."
Términos y Condiciones,Uso adecuado de los uniformes institucionales,"El uniforme oficial entregado por Lignum Atelier a su personal comercial, administrativo y de planta representa la imagen pública y la identidad de la organización. Los colaboradores están obligados a portar la vestimenta institucional de manera completa, pulcra, limpia y planchada durante la totalidad de su jornada de trabajo, quedando estrictamente prohibido realizar modificaciones de diseño a las prendas, portar partes del uniforme en actividades de ocio personal fuera de los horarios laborales o consumir bebidas alcohólicas portando los logotipos bordados de la empresa."
Términos y Condiciones,Regulación para el teletrabajo excepcional por fuerza mayor,"En situaciones de emergencias sanitarias decretadas oficialmente por las autoridades nacionales, desastres naturales o problemas estructurales insalvables en las oficinas de Lignum Atelier, la Dirección Ejecutiva activará el Plan de Continuidad Operativa bajo modalidad de teletrabajo excepcional por fuerza mayor. La empresa proveerá los accesos remotos seguros a los sistemas de nómina e inventarios, obligándose los colaboradores a mantener los mismos estándares de disponibilidad horaria, confidencialidad de la información y productividad que bajo el esquema presencial."
